consumptionPower,consumptionEnergy
164,384738803
163,384787834
161,384836366
156,384883831
40,384897375
40,384909363
40,384921323
174,384939068
162,384988086
162,385036819
158,385084844
40,385114054
40,385126030
40,385137910
40,385149843
163,385186718
162,385235518
159,385283646
40,385328768
40,385340711
40,385352679
40,385364629
171,385383930
162,385432814
161,385481411
158,385529331
40,385556171
40,385568155
40,385580113
40,385592118
162,385629825
162,385678574
160,385726805
40,385771183
40,385783157
40,385795140
40,385807120
171,385825991
162,385874817
160,385923295
158,385971218
40,386004110
40,386016086
40,386028067
40,386040030
162,386070294
162,386119031
159,386167224
40,386209601
40,386221544
40,386233530
40,386245504
166,386267400
162,386315967
160,386364257
157,386411873
40,386433830
40,386445804
40,386457790
40,386469796
163,386509345
161,386557837
158,386605781
40,386638815
40,386650776
40,386662757
40,386674759
161,386703720
161,386752298
159,386800332
40,386844205
40,386856181
40,386868149
40,386880113
172,386897589
161,386946092
159,386993966
153,387040929
40,387056635
40,387068626
40,387080605
40,387092569
167,387137935
256,387189439
254,387266674
163,387323956
50,387357570
43,387372324
160,387412308
156,387459768
43,387493575
43,387506486
160,387535472
415,387620900
297,387741943
296,387798671
40,387841723
40,387853662
40,387866848
161,387915749
160,387964891
156,388016372
46,388040354
40,388065507
40,388077512
40,388093070
162,388134163
160,388182403
157,388230020
40,388257528
40,388269493
40,388281468
40,388293426
162,388328443
471,388460239
159,388525079
40,388558659
197,388596331
207,388656871
216,388719955
334,388802097
309,388900023
314,388992974
191,389080198
192,389138869
184,389195079
252,389266411
382,389348549
336,389454235
288,389545013
275,389630972
156,389688673
160,389736470
158,389785083
168,389832705
976,389945270
1012,390107706
1119,390394183
1093,390613036
189,390777175
348,390842725
306,390910542
293,390995667
287,391078114
143,391134457
141,391177820
257,391245322
313,391332899
195,391418974
193,391476915
192,391534986
193,391592746
327,391658344
311,391753694
311,391847147
309,391940506
197,392013277
40,392058915
45,392073249
56,392087545
181,392130135
174,392182743
177,392234819
62,392281623
62,392300193
40,392318700
40,392330708
170,392349929
163,392398746
160,392447071
157,392494863
40,392522472
40,392534461
40,392546421
40,392558358
162,392593942
161,392642534
160,392690609
156,392738077
43,392753613
43,392766460
43,392779331
43,392792224
166,392841422
185,392892901
169,392945601
52,392990559
49,393005881
52,393021267
51,393036484
179,393062030
174,393114194
170,393166225
177,393219526
165,393270483
71,393301064
53,393321030
176,393348693
193,393402334
168,393456134
56,393504101
60,393521398
179,393543678
163,393593344
346,393661347
207,393743420
210,393809117
224,393876791
219,393941869
362,394035701
344,394141646
348,394246604
355,394352900
236,394428536
226,394498378
222,394565126
331,394634160
348,394737483
333,394840217
346,394942405
223,395037365
219,395103741
210,395167573
203,395228377
322,395304545
324,395403457
319,395500720
320,395596765
208,395671761
197,395732211
204,395792090
200,395851747
330,395941815
321,396039148
327,396136638
316,396232397
207,396295581
169,396327365
162,396376553
158,396424563
42,396467176
42,396479837
164,396504258
159,396552647
156,396600065
39,396629110
38,396640706
38,396652220
38,396663757
162,396700046
470,396752147
302,396870831
286,396959884
161,397013758
161,397063801
652,397247604
157,397435398
156,397482495
308,397565784
192,397655369
321,397739476
314,397834560
459,397949647
463,398087365
422,398224167
454,398359289
453,398494225
338,398606713
337,398707133
338,398807448
475,398912833
462,399053039
459,399191707
470,399331489
335,399467211
218,399533980
212,399599329
217,399664778
346,399740722
335,399844192
342,399947578
344,400049946
220,400140975
73,400195224
303,400281891
302,400373478
170,400445715
170,400496957
168,400547787
